麦肯锡	10	nr
麻栗坡县	10	ns
麻织品	10	n
麻雀虽小	10	i
黄历	10	n
黄县	10	ns
黄友	10	n
黄屋	10	n
黄岗山	10	nr
黄文弼	10	nr
黄斌	10	nr
黄果	10	n
黄武	10	nr
黄河水利委员会	10	nt
黄泥河	10	ns
黄潜善	10	nr
黄瓜汁	10	nr
黄真笑	10	nr
黄粱美梦	10	nr
黄色素	10	n
黄草	10	nr
黄蓉怒	10	nr
黄蓉抿	10	nr
黄藻	10	nr
黄麻起义	10	nr
黏稠度	10	n
黏糊糊	10	n
黏附	10	v
黑云岭	10	nr
黑方	10	n
黑海地区	10	ns
黑莓	10	n
黚	10	zg
黛绿	10	nr
黩武	10	v
鼓式	10	n
鼓楼区	10	n
鼠年	10	t
鼢鼠	10	n
鼻孔朝天	10	i
鼻息肉	10	n
齐天	10	nr
齐自勉	10	nr
龙发	10	nz
龙庭	10	n
龙廷	10	nr
龙石	10	nr
龙胜	10	nr
龙蛇混杂	10	i
龙骨山	10	nr
龚松林	10	nr
龟板	10	n
网易	10	nr
历时	10	v
自主	10	a
研发	10	v
英雄	5	n
三国	7	n
是	1000	i
运营	9	v
英雄对战	10	v
对战	10	v
竞技	9	v
网游	8	n
竞技网游	8	v
